1481406354
task	R	T	Offset	priority	allocation
45	3.35	5	2.86	5	1
46	7.16	40	0	26	0
47	1.19	10	0	12	0
48	0.142	4	0	5	2
49	0.0242	1	0	1	2
50	8.99	40	0	19	1
51	0.574	5	0	7	0
52	1.18	10	0	10	0
53	28.4	500	1.18	28	1
54	333	1000	2.28	36	1
55	258	500	0.748	41	0
56	1.32	10	0	14	0
57	53.8	500	0.574	29	1
58	1.96	10	0	16	0
59	25.7	500	0	15	2
60	0.278	10	0	7	2
61	38.1	500	0	16	2
62	43.6	500	0	17	2
63	1.64	20	0	11	1
64	77.5	400	0.15	37	0
65	0.791	10	0	8	1
66	2.25	100	0	13	2
67	23.4	200	14.1	14	2
68	0.812	10	0	9	1
69	13.4	100	0.156	20	1
70	3.19	20	0	14	1
71	0.077	2	0	4	2
72	0.808	20	0	10	2
73	0.981	40	0	11	2
74	3.22	20	0	22	0
75	2.53	20	0	19	0
76	0.748	10	0	9	2
77	15.5	100	0.617	22	1
78	67.2	500	2.53	30	1
79	0.147	4	0	6	2
80	0.0369	1	0	2	2
81	0.653	5	0	9	0
82	15	100	0	24	1
83	18.9	100	0	33	0
84	19.9	100	0	34	0
85	3.72	20	0	23	0
86	0.17	2	0	6	0
87	1.86	40	0	12	2
88	2.84	20	0	20	0
89	8.57	100	0	28	0
90	0.106	1	0	2	0
91	3.97	40	0	25	0
92	140	400	0	38	0
93	0.226	2	0	3	1
94	1.97	10	0	17	0
95	18.3	100	0	25	1
96	3.84	40	0	24	0
97	333	1000	0	43	0
98	1.67	10	0	15	0
99	168	500	0	39	0
----------------------------------------
1481406378
task	R	T	Offset	priority	allocation
0	2.4	20	0	12	0
1	74.9	100	62.1	26	0
2	2.4	20	0	13	0
3	235	500	162	31	0
4	171	1000	2.4	32	1
5	1.88	20	0	12	2
6	3.13	20	0	14	0
7	0.671	10	0	9	1
8	1.99	40	0	15	2
9	11.9	100	2.4	20	2
10	67.5	500	3.13	30	2
11	18.8	100	0	28	0
12	52.3	200	6.31	22	1
13	0.866	10	0	7	2
14	19.4	200	0	22	2
15	34.8	400	0	25	2
16	83	500	18.8	26	1
17	0.0107	2	0	1	2
18	6.31	20	0	15	0
19	0.0427	2	0	2	2
20	4.3	100	0	18	2
21	7.46	20	0	16	0
22	1.65	50	0	12	1
23	2.22	50	0	13	1
24	1.76	2	1.65	2	0
25	17.5	100	7.54	16	1
26	7.51	20	0.0427	17	0
27	22.2	200	0	23	2
28	1.01	10	0	8	2
29	4.58	5	4.3	5	1
30	66.3	1000	0	31	2
31	8.4	40	0	20	0
32	99.2	500	0	32	0
33	19.2	200	0	29	0
34	1.83	20	0	11	2
35	1.94	40	0	14	2
36	11.3	100	0	17	1
37	0.301	5	0	5	2
38	82.2	500	0	27	1
39	1.96	2	1.94	2	1
40	1.09	10	0	9	2
41	81.7	400	45.9	26	2
42	148	1000	0	30	1
43	7.66	20	0	19	0
44	0.0919	1	0	0	0
45	2.75	50	0	17	2
46	11.6	40	0	21	0
47	49.4	200	0	23	1
48	10.4	100	0.598	21	2
49	0.598	5	0	7	0
50	7.54	20	0	18	0
51	0.296	4	0	5	0
52	34.5	200	0	20	1
53	7.25	100	0	15	1
54	11.7	40	0	22	0
55	0.00167	1	0	0	1
56	54.3	200	0	24	1
57	54.7	200	0	25	1
58	0.00642	1	0	0	2
59	11.7	40	0	23	0
60	8.49	10	7.25	10	0
61	0.326	5	0	6	1
62	89.1	500	0	28	1
63	0.222	4	0	4	1
64	25.6	200	0	19	1
65	0.138	4	0	4	2
66	159	1000	0	31	1
67	53.2	400	0	30	0
68	13.6	100	0	27	0
69	0.108	2	0	3	0
70	0.194	2	0	3	1
71	8.42	10	7.54	10	1
72	54.7	200	19.2	21	1
73	0.0947	1	0	1	0
74	0.207	2	0	4	0
75	12.4	50	0	25	0
76	119	1000	0	33	0
77	1.83	20	0	10	2
78	59	500	0	29	2
79	25.6	400	0	24	2
80	0.44	5	0	6	2
81	0.874	5	0	8	0
82	0.327	5	0	7	1
83	192	1000	0	33	1
84	26.8	100	22.2	14	1
85	11.8	40	0	24	0
86	1.49	10	0	11	0
87	90.8	400	53.2	27	2
88	0.979	20	0	11	1
89	22.7	100	0	18	1
90	0.0063	1	0	1	1
91	145	1000	0	29	1
92	7.95	10	7.54	8	1
93	0.378	4	0	6	0
94	13.7	20	11.8	13	2
95	7.98	100	0	19	2
96	39.1	400	0	28	2
97	2.72	50	0	16	2
98	0.086	2	0	3	2
99	0.97	5	0	9	0
----------------------------------------
1481406379
task	R	T	Offset	priority	allocation
0	0.939	10	0	9	2
1	28.1	50	23.5	15	2
2	1.43	40	0	13	2
3	4.2	20	2.84	12	2
4	0.0633	2	0	2	0
5	23.5	200	0	25	0
6	134	500	0	34	0
7	0.0265	1	0	0	0
8	4.32	50	0	20	0
9	20.7	100	13.6	22	0
10	53.6	400	4.2	31	0
11	79.6	500	20.7	19	2
12	0.248	5	0	6	0
13	3.1	40	0.0239	19	0
14	0.326	5	0	7	0
15	1.61	10	0	13	0
16	8.95	100	0	23	0
17	26.8	200	0	26	0
18	1.78	5	1.43	6	1
19	145	500	0	35	0
20	56.5	400	0	32	0
21	0.0716	2	0	1	1
22	28.2	100	13.6	24	0
23	33.8	200	0	28	0
24	29.8	400	0	29	1
25	48.5	400	0	30	1
26	0.0239	1	0	0	1
27	97.5	500	4.32	33	1
28	17.1	200	0.0441	26	1
29	146	500	28.2	34	1
30	13.5	200	0	25	1
31	0.783	20	0	12	1
32	0.89	20	0	13	1
33	0.0231	1	0	0	2
34	2.79	10	0.89	14	0
35	1.34	5	0.89	8	0
36	0.0373	1	0	1	0
37	94.1	200	56.9	29	0
38	43.3	200	0.0869	30	0
39	0.278	5	0	5	1
40	0.223	4	0	3	1
41	0.888	5	0	9	0
42	0.0478	2	0	2	2
43	2.67	40	0	16	1
44	149	500	0.223	36	0
45	1.31	20	0	14	1
46	3.05	50	0.0478	19	1
47	52.4	200	26.8	27	1
48	2.73	40	0	17	1
49	0.102	2	0	3	0
50	236	1000	0	38	1
51	294	1000	4.9	39	0
52	0.585	10	0	9	1
53	0.622	10	0	10	1
54	0.417	5	0	7	1
55	0.65	10	0	8	2
56	4.9	200	0	17	2
57	1.56	5	0.65	10	0
58	0.0441	1	0	1	2
59	32.8	200	0	27	0
60	2.81	40	0	18	0
61	166	1000	0	37	0
62	117	500	0	33	0
63	2.79	40	0	17	0
64	3.05	50	0	20	1
65	2.52	40	0	15	1
66	6.72	100	0	23	1
67	0.099	2	0	2	1
68	2.91	40	0	18	1
69	131	500	0	35	1
70	9.13	100	0	24	1
71	0.625	20	0	11	1
72	0.0869	2	0	3	2
73	0.218	4	0	5	2
74	1.09	20	0	10	2
75	5.66	50	0	21	1
76	56.8	400	0	31	1
77	6.6	100	0	22	1
78	6.58	10	4.2	15	0
79	6.27	50	0	21	0
80	183	500	0	36	1
81	25.9	200	0	28	1
82	344	500	117	37	1
83	318	1000	0	40	0
84	0.113	2	0	4	0
85	7.41	20	4.9	16	0
86	1.19	10	0	12	0
87	0.102	2	0	4	2
88	66.5	400	0.113	32	1
89	1.16	5	0	11	0
90	0.205	2	0	5	0
91	0.291	4	0	6	2
92	4.82	100	0	16	2
93	279	1000	0	38	0
94	3.65	50	0	14	2
95	1.15	20	0	11	2
96	0.378	4	0	7	2
97	17.2	200	0	18	2
98	0.495	5	0	8	1
99	0.265	4	0	4	1
----------------------------------------
1481406380
task	R	T	Offset	priority	allocation
0	207	500	134	31	0
1	0.187	2	0	5	2
2	1.76	20	0	14	2
3	0.211	2	0	6	2
4	3.64	50	0.211	17	0
5	6.35	50	0.211	18	0
6	22.3	200	0.0529	23	2
7	0.799	10	0	12	2
8	3.95	50	0	19	2
9	0.747	10	0	10	0
10	12.3	100	0	22	0
11	39.4	400	1.76	27	0
12	0.416	5	0	8	0
13	97	500	2.45	27	2
14	118	500	0.416	28	2
15	2.79	40	0	17	2
16	0.0787	2	0	3	0
17	2.62	10	1.76	11	0
18	23.3	200	0	24	2
19	9.6	100	0	21	2
20	19.8	50	13.4	20	2
21	59.9	500	0	29	0
22	15.1	100	1.12	23	0
23	15.3	100	9.6	21	1
24	0.0128	1	0	0	0
25	12	100	1.05	22	2
26	179	1000	0.0787	33	1
27	156	1000	12.3	29	2
28	72.2	400	36.6	25	2
29	1.77	20	0	15	2
30	0.0227	1	0	0	1
31	1.12	10	0	13	1
32	2.21	50	0	17	1
33	0.00803	1	0	0	2
34	136	1000	1.29	32	1
35	73.3	500	0	29	1
36	0.51	4	0	9	2
37	42.8	200	0.134	25	1
38	3.37	5	2.79	8	1
39	0.0445	1	0	1	0
40	6.26	50	0	19	0
41	0.991	20	0	12	0
42	0.186	4	0	6	0
43	0.209	1	0.186	1	1
44	1.29	40	0	13	0
45	38.5	500	0	26	2
46	0.18	2	0	4	2
47	0.629	5	0	9	0
48	2.15	40	0	14	0
49	178	1000	2.79	33	0
50	0.0883	2	0	3	1
51	2.96	50	0	16	0
52	0.151	4	0	6	1
53	2.98	40	0	18	2
54	99.9	400	43.4	28	0
55	0.255	4	0	7	1
56	0.233	2	0	7	2
57	0.0229	1	0	1	2
58	16	200	0	24	0
59	77.4	500	2.62	30	1
60	7.12	50	0	20	0
61	0.188	4	0	7	0
62	46.6	200	0.799	26	1
63	1.41	10	0	14	1
64	4.71	100	0	20	1
65	2.45	50	0	15	0
66	0.134	4	0	5	0
67	180	1000	0	30	2
68	12.5	100	0	22	1
69	1.89	40	0	16	1
70	0.103	2	0	4	0
71	61.3	500	0	30	0
72	0.128	2	0	4	1
73	0.0882	1	0	2	2
74	183	1000	0	31	2
75	0.132	1	0	3	2
76	0.59	5	0	9	1
77	11.3	100	0	21	0
78	93.1	500	0.0235	32	0
79	0.0529	1	0	2	1
80	2.76	4	2.15	10	2
81	3.27	100	0	18	1
82	82.6	1000	0	31	1
83	0.491	4	0	8	2
84	27.8	400	0.491	26	0
85	1.39	10	0	13	2
86	0.702	5	0	11	2
87	0.131	2	0	5	1
88	1.63	20	0	15	1
89	17.8	20	16	16	2
90	18.3	400	0	25	0
91	0.046	1	0	2	0
92	63.1	500	0	28	1
93	62.2	400	0.188	27	1
94	23.2	200	0	23	1
95	0.725	10	0	10	1
96	36.5	200	0	24	1
97	3.48	100	0	19	1
98	0.748	10	0	11	1
99	1.05	10	0	12	1
----------------------------------------
1481406381
task	R	T	Offset	priority	allocation
0	0.596	10	0	13	0
1	0.655	10	0	14	0
2	0.0951	2	0	5	0
3	13.8	100	0	34	0
4	0.122	2	0	6	0
5	1.86	20	0	20	0
6	0.00754	1	0	0	0
7	4.65	40	0	26	0
8	53.5	400	0	38	0
9	0.133	2	0	7	0
10	11.8	50	0	31	0
11	18.8	100	0	35	0
12	0.157	1	0.133	0	1
13	13	50	0.0234	32	0
14	0.134	1	0.133	0	2
15	0.234	5	0	10	0
16	58.5	500	0	40	0
17	2.42	5	1.86	11	2
18	1.61	20	0	18	2
19	5.66	40	0	27	0
20	78.6	200	59.7	36	0
21	0.568	5	0	12	2
22	0.183	2	0	5	2
23	0.422	4	0	7	2
24	0.983	10	0	14	2
25	2.67	20	0	22	0
26	8.82	40	0.568	29	0
27	11.7	40	0	22	2
28	192	1000	0	44	0
29	52.9	400	0	28	2
30	0.0178	1	0	1	0
31	0.162	5	0	5	1
32	2.67	20	0	23	0
33	0.746	5	0	13	2
34	269	1000	0.0483	45	0
35	0.785	10	0	15	0
36	0.0319	1	0	1	1
37	0.838	2	0.655	6	2
38	131	500	0	42	0
39	44	400	11.7	16	1
40	66.7	1000	1.1	18	1
41	0.469	4	0	8	2
42	1.31	10	0	17	0
43	0.234	5	0	11	0
44	59.7	500	0	41	0
45	3.06	10	2.67	6	1
46	5.99	40	0.0457	28	0
47	13.4	100	0	33	0
48	0.0457	1	0	1	2
49	12.8	50	0	25	2
50	1.44	10	0	15	2
51	35.9	200	0	37	0
52	4.22	200	0	11	1
53	70.2	1000	11.7	17	1
54	2.58	20	0	19	2
55	130	1000	59.7	19	1
56	15.2	200	1.57	13	1
57	338	1000	70.2	32	2
58	0.198	4	0	9	0
59	3.73	20	0	24	0
60	0.0997	4	0	4	1
61	26.9	200	0	27	2
62	0.497	1	0.469	2	0
63	0.522	4	0	9	2
64	0.513	1	0.469	2	1
65	0.245	5	0	12	0
66	1.6	20	0	19	0
67	9.84	40	0	30	0
68	1.55	40	0	10	1
69	158	500	0	30	2
70	0.0628	1	0	2	2
71	185	1000	0	31	2
72	82.8	1000	0	20	1
73	0.0349	1	0	3	0
74	57.7	400	0	39	0
75	2.34	20	0	21	0
76	0.0483	4	0	3	1
77	16.9	20	13.8	20	2
78	19.2	200	0	26	2
79	6.41	40	0	21	2
80	0.0644	1	0	3	2
81	4.22	20	0	25	0
82	12.3	200	0	12	1
83	1.58	20	0	18	0
84	14.9	200	0.0644	14	1
85	1.1	10	0	16	0
86	0.182	2	0	8	0
87	155	1000	0	43	0
88	0.66	20	0	8	1
89	11.7	40	0	23	2
90	1.57	10	0	16	2
91	0.531	4	0	10	2
92	1.45	40	0	9	1
93	0.4	20	0	7	1
94	19.6	200	0	15	1
95	11.9	40	0	24	2
96	54.8	400	0.0349	29	2
97	0.102	1	0	4	2
98	1.59	10	0	17	2
99	0.0753	1	0	4	0
----------------------------------------
1481406388
task	R	T	Offset	priority	allocation
0	45.2	400	0.295	20	2
1	0.39	4	0	8	1
2	0.206	5	0	4	2
3	57.3	400	0.472	21	2
4	41.1	200	2.57	30	1
5	3.47	20	0	21	1
6	19.3	200	3.47	17	2
7	213	1000	19.3	38	0
8	0.472	4	0	9	1
9	0.803	4	0	10	1
10	0.544	10	0	14	0
11	147	1000	0	35	1
12	0.125	2	0	4	1
13	0.87	2	0.803	2	2
14	2.31	10	0	16	1
15	136	500	0.288	33	1
16	37.6	100	1.85	29	1
17	2.64	5	2.31	5	2
18	0.0446	1	0	0	0
19	0.697	2	0.544	5	1
20	63.6	500	0	35	0
21	0.374	5	0	6	2
22	0.225	2	0	6	1
23	1.94	10	0	15	1
24	0.0345	1	0	0	1
25	5.42	40	0	23	1
26	141	1000	2.23	34	1
27	0.295	4	0	7	1
28	380	1000	147	39	0
29	219	500	141	36	0
30	2.27	40	0	23	0
31	0.00708	1	0	0	2
32	2.42	10	0	17	1
33	0.0702	1	0	1	0
34	0.0746	2	0	3	0
35	1.51	20	0	17	0
36	0.513	4	0.225	8	0
37	2.6	10	0	18	1
38	0.39	4	0	9	0
39	1.66	40	0	11	2
40	1.85	20	0	18	0
41	9.64	100	0	25	1
42	2.54	4	1.66	11	1
43	51.1	400	1.92	32	1
44	1.19	40	0	10	2
45	249	1000	9.64	40	0
46	117	500	37.6	37	0
47	2.97	10	0	19	1
48	1.87	20	0	19	0
49	2.93	5	2.42	12	0
50	6.27	50	0.0669	26	0
51	15.8	100	0	26	1
52	23	400	0	19	2
53	14.3	50	12.2	12	2
54	10.7	200	0	15	2
55	4.52	40	1.94	24	0
56	3.46	10	0	20	1
57	0.0638	1	0	1	1
58	246	1000	0.374	41	0
59	0.0885	2	0	4	0
60	6.97	50	0	27	0
61	1.92	20	0	20	0
62	0.963	4	0	12	1
63	0.974	5	0	13	1
64	20.2	50	15.8	13	2
65	8.51	50	0	28	0
66	29.2	100	0	27	1
67	35.2	100	0	28	1
68	1.77	2	1.66	5	0
69	0.502	5	0	11	0
70	47.7	400	1.19	31	1
71	5.48	40	0	24	1
72	0.447	5	0	7	2
73	0.393	4	0	10	0
74	2.21	20	0	21	0
75	0.0121	1	0	1	2
76	5.39	100	0	14	2
77	18.2	200	0	18	2
78	11.4	200	0	16	2
79	8.96	50	0	29	0
80	11.2	100	0	30	0
81	25.2	200	0	32	0
82	0.0738	1	0	2	0
83	4.17	20	1.94	22	0
84	0.452	5	0	8	2
85	19.3	100	0.974	31	0
86	0.557	10	0	9	2
87	5.51	40	0	25	0
88	41.6	400	1.66	34	0
89	0.648	10	0	15	0
90	0.539	5	0	13	0
91	0.0852	2	0	3	2
92	0.488	1	0.39	3	1
93	0.106	2	0	6	0
94	3.8	20	0	22	1
95	0.0811	1	0	2	1
96	0.171	2	0	7	0
97	1.14	5	0	14	1
98	27.5	200	0	33	0
99	0.846	10	0	16	0
----------------------------------------
1481406391
task	R	T	Offset	priority	allocation
0	1.45	20	0	10	0
1	25.7	200	0	26	0
2	166	400	74	29	0
3	6.7	40	0	16	0
4	1.46	20	0	11	0
5	2.21	20	0	13	0
6	7.68	40	0	17	0
7	114	400	2.32	33	1
8	0.915	10	0	8	0
9	261	1000	4.57	33	0
10	17.3	200	0	25	0
11	1.63	20	0	12	0
12	4.92	50	0	22	1
13	0.0625	1	0	0	0
14	7.9	40	0	18	0
15	2.98	20	0.104	14	0
16	149	1000	0	32	0
17	0.479	5	0	5	0
18	1.6	20	0	16	1
19	0.000268	1	0	0	1
20	6.34	50	0	23	1
21	13.8	200	0	28	1
22	0.0267	1	0	0	2
23	40.9	50	29.2	22	0
24	0.0801	1	0	1	0
25	5.89	40	0	15	0
26	80.2	1000	5.89	19	2
27	0.565	5	0	6	0
28	28.5	200	0	27	0
29	0.0673	2	0	3	1
30	29.8	400	0	30	1
31	0.107	2	0	3	2
32	6.71	50	0	24	1
33	45.6	200	29.8	14	2
34	315	1000	1.6	36	0
35	2.9	50	0	19	1
36	118	500	0	35	1
37	3.29	50	0	20	1
38	4.15	50	3.29	7	2
39	0.565	5	0	10	1
40	7.57	100	0.107	26	1
41	71.7	400	0	32	1
42	48.5	1000	0	18	2
43	0.0148	1	0	1	1
44	43.5	400	0.271	17	2
45	159	400	40.9	34	1
46	279	1000	6.71	34	0
47	0.915	10	0	13	1
48	0.466	20	0	6	2
49	2.45	40	0	17	1
50	48.9	400	0	31	1
51	7.06	100	0.0801	25	1
52	1.53	20	0	15	1
53	4.71	50	0.143	21	1
54	0.202	2	0	4	0
55	0.1	1	0	1	2
56	98.9	1000	7.47	20	2
57	6.19	100	0	10	2
58	1.79	50	0	8	2
59	316	1000	0.1	37	0
60	8.15	10	7.9	5	2
61	8.44	40	0	19	0
62	0.982	20	0	9	0
63	14	200	0	13	2
64	28.9	400	0	16	2
65	0.111	1	0	2	0
66	17.7	100	7.06	11	2
67	0.364	4	0	7	1
68	0.376	4	0	8	1
69	144	1000	0	38	1
70	0.0309	1	0	2	1
71	113	1000	0.915	21	2
72	7.68	100	0	27	1
73	243	1000	48.5	39	1
74	4.8	50	0	9	2
75	1.13	2	0.982	4	1
76	17.3	400	0	29	1
77	14.3	100	0.376	24	0
78	0.219	5	0	4	2
79	39.5	40	29.8	20	0
80	72.9	400	0	28	0
81	13.2	100	0	23	0
82	149	500	0	31	0
83	272	500	149	36	1
84	4.73	5	4.15	7	0
85	0.271	4	0	6	1
86	0.397	5	0	9	1
87	1.39	20	0	14	1
88	0.104	1	0	2	2
89	0.143	1	0	3	0
90	0.201	2	0	5	1
91	0.586	5	0	11	1
92	0.604	5	0	12	1
93	9.67	40	0	21	0
94	111	400	0	30	0
95	289	1000	15.8	35	0
96	150	500	13.2	37	1
97	17.4	200	0	15	2
98	11.6	100	0.397	12	2
99	2.48	40	0	18	1
----------------------------------------
1481406395
task	R	T	Offset	priority	allocation
0	6.73	50	0	21	0
1	77.8	1000	2.31	35	0
2	121	1000	3.12	36	0
3	183	1000	3.12	38	0
4	3.12	40	0	14	2
5	0.519	10	0	11	0
6	0.0497	2	0	2	1
7	19.1	200	0.327	28	0
8	3.75	40	0	15	2
9	3.93	50	0	19	0
10	3.27	40	0	18	0
11	8.82	20	7.08	12	1
12	8.17	50	0.989	22	0
13	0.00223	1	0	0	0
14	12.2	100	0	26	0
15	8.62	50	0.422	23	0
16	4.26	5	3.93	5	2
17	1.73	20	0	14	0
18	9.7	10	8.82	11	2
19	3.8	10	3.12	12	0
20	0.941	10	0	13	0
21	18.8	200	0.461	19	2
22	0.283	5	0	7	0
23	65	1000	0	34	0
24	1.36	5	0.941	6	1
25	0.458	5	0	6	2
26	0.33	5	0	8	0
27	188	1000	0	39	0
28	242	1000	65	29	1
29	2.55	40	0.0392	13	1
30	0.461	5	0	7	1
31	0.954	10	0	8	1
32	89.5	500	0	23	1
33	3.54	50	0	15	1
34	119	500	0	24	1
35	4.62	40	0	16	2
36	229	1000	0	29	2
37	0.172	2	0	3	2
38	0.00609	1	0	1	0
39	0.342	5	0	9	0
40	28	400	0	31	0
41	58.5	500	0	33	0
42	0.162	4	0	6	0
43	16.4	100	0	20	1
44	47.6	500	0	21	2
45	0.0411	2	0	4	0
46	0.413	10	0	10	0
47	92.7	1000	0	23	2
48	88.5	500	0	22	2
49	130	1000	0	37	0
50	0.668	5	0	8	2
51	1.19	10	0	12	2
52	6.62	50	0	18	2
53	3.22	40	0	17	0
54	47.6	400	0	32	0
55	11.4	100	0	25	0
56	17.5	200	0.172	21	1
57	126	500	0	25	1
58	0.00882	1	0	0	1
59	22.8	200	0	29	0
60	0.225	4	0	5	1
61	5.57	50	0	17	1
62	0.0588	2	0	3	1
63	13.5	100	0	19	1
64	190	1000	0	28	2
65	0.0613	1	0	0	2
66	0.194	2	0	4	2
67	42	200	17.5	30	0
68	0.0366	1	0	2	0
69	6.37	40	0	17	2
70	0.0625	2	0	5	0
71	0.989	10	0	9	1
72	8.27	50	0	18	1
73	2.74	20	0	16	0
74	11.1	50	0	24	0
75	3.86	50	0	16	1
76	0.0688	2	0	4	1
77	129	500	0	26	1
78	4.65	50	0	20	0
79	134	1000	0	27	1
80	133	1000	3.8	25	2
81	1.07	10	0	10	1
82	0.0464	1	0	1	1
83	1.38	10	0	11	1
84	27.1	400	0	22	1
85	3.8	40	0.342	14	1
86	2.67	20	0	15	0
87	36.4	400	0	20	2
88	0.102	1	0	1	2
89	98.9	1000	0	24	2
90	0.873	10	0	10	2
91	176	1000	0	28	1
92	2.31	20	0	13	2
93	0.107	1	0	2	2
94	15.3	200	0	27	0
95	0.553	5	0	7	2
96	136	1000	0	26	2
97	138	1000	0	27	2
98	0.0392	1	0	3	0
99	0.861	5	0	9	2
----------------------------------------
1481406396
task	R	T	Offset	priority	allocation
0	35.2	200	4.12	23	0
1	0.0431	4	0	4	2
2	4.51	100	0	20	2
3	0.0183	1	0	0	0
4	0.265	20	0	6	0
5	41.3	50	34	17	0
6	0.512	20	0	7	0
7	68.7	400	0	28	0
8	14.5	100	0	20	0
9	266	500	0.46	33	0
10	33.6	200	0	24	0
11	88.7	400	1.41	29	0
12	3.55	40	0.155	13	0
13	0.638	5	0	7	2
14	27.6	400	0	26	2
15	4.56	40	0	14	0
16	1.35	20	0	11	2
17	2.38	40	0	16	1
18	0.00261	1	0	0	1
19	39.6	200	0	25	0
20	133	1000	0	31	2
21	64.8	1000	5.21	29	2
22	382	1000	0.0575	36	0
23	0.0247	1	0	1	1
24	0.262	4	0	7	1
25	0.0523	2	0	2	0
26	0.0105	1	0	0	2
27	57.5	400	0	26	0
28	5.62	40	0.642	15	0
29	15.2	100	0	21	0
30	4.4	100	0	19	1
31	0.113	2	0	5	1
32	62.3	1000	0.0431	27	1
33	0.031	1	0	2	1
34	0.804	10	0	12	1
35	35.4	400	0	25	1
36	99.9	1000	3.14	28	1
37	3.97	50	0	18	1
38	55.3	100	39.6	22	2
39	0.657	10	0	9	2
40	18.6	200	0.512	24	2
41	0.752	20	0	8	0
42	331	1000	0	34	0
43	13.9	200	0	23	1
44	115	1000	0	29	1
45	5.34	100	0	20	1
46	68.9	1000	0	30	2
47	28.5	400	0.337	27	2
48	143	400	0.638	30	0
49	1.26	20	0.265	13	1
50	2.12	20	0	12	2
51	0.0655	1	0	3	1
52	1.41	40	0	15	1
53	3.27	50	0	17	1
54	0.337	5	0	8	1
55	6.73	40	0	16	0
56	1.67	20	0	9	0
57	0.46	5	0	6	2
58	0.0164	1	0	1	2
59	3.42	40	0	16	2
60	7.91	50	0.337	18	0
61	19.8	200	0	25	2
62	17.6	100	0	22	0
63	1.99	20	0	10	0
64	0.0372	1	0	1	0
65	26.6	400	0	24	1
66	0.0575	4	0	5	2
67	342	1000	0	35	0
68	0.0791	5	0	3	0
69	0.171	10	0	5	0
70	4.11	50	0	18	2
71	0.371	5	0	9	1
72	2.51	20	0	13	2
73	2.2	20	0	11	0
74	0.0951	1	0	4	1
75	186	400	3.42	31	0
76	2.92	40	0	12	0
77	0.642	5	0	8	2
78	3.44	40	0	17	2
79	49.6	500	0.752	26	1
80	0.135	5	0	4	0
81	0.8	10	0	11	1
82	1.32	20	0	14	1
83	1.56	10	0.752	10	2
84	64.6	400	0	27	0
85	4.12	100	0	19	2
86	2.98	40	0	14	2
87	17.9	200	0	23	2
88	13.7	50	0	19	0
89	157	1000	0	32	2
90	0.0333	1	0	2	2
91	1.95	5	1.56	10	1
92	0.0368	2	0	3	2
93	6.49	100	0	21	1
94	11	100	0	22	1
95	0.155	2	0	6	1
96	3.14	40	0	15	2
97	28.8	500	0	28	2
98	6.64	100	0.804	21	2
99	249	500	0	32	0
----------------------------------------
1481406400
task	R	T	Offset	priority	allocation
0	8.51	100	0.0594	15	2
1	0.0408	2	0	1	2
2	0.366	4	0	4	1
3	25.5	400	0	17	2
4	58.7	400	0.817	21	2
5	1.95	20	0	15	1
6	157	1000	4.85	35	1
7	7.55	40	0	23	0
8	29.5	200	0	32	0
9	0.201	2	0	4	0
10	0.0594	2	0	3	1
11	0.00386	1	0	0	0
12	96.7	500	0	37	0
13	1.22	10	0	14	0
14	94.7	400	0	36	0
15	195	500	96.7	32	1
16	0.103	1	0	1	0
17	0.888	10	0	10	1
18	227	1000	96.7	34	1
19	0.309	5	0	7	0
20	33.2	200	0.0408	33	0
21	5.69	100	0.887	21	1
22	0.151	2	0	2	2
23	39.1	100	33.2	22	1
24	22.9	100	0	30	0
25	1.97	20	0.151	19	0
26	0.131	1	0	2	0
27	0.567	5	0	8	0
28	0.594	5	0	9	0
29	1.17	10	0	11	1
30	23.6	200	0	27	1
31	3.43	100	0	19	1
32	29.5	400	0	18	2
33	0.479	5	0	6	1
34	9.69	100	0	23	1
35	28.5	50	25.5	18	1
36	39.3	400	0	28	1
37	100	500	8.57	31	1
38	12.3	50	9.69	13	2
39	4.85	40	0	22	0
40	0.172	4	0	3	2
41	0.0266	1	0	0	1
42	14.2	200	0	24	1
43	8.97	50	0	25	0
44	2.2	20	0	16	1
45	2.5	40	0	17	1
46	0.472	4	0	5	1
47	0.526	5	0	7	1
48	70.3	400	0.319	35	0
49	18.5	100	0	29	0
50	0.245	4	0	4	2
51	0.319	4	0	6	2
52	15.3	200	0	16	2
53	0.312	4	0	5	2
54	0.647	5	0	10	0
55	17.4	100	0	28	0
56	1.5	10	0	15	0
57	0.00569	1	0	0	2
58	1.6	10	0	16	0
59	0.619	20	0	10	2
60	15.8	100	0	27	0
61	0.288	4	0	6	0
62	1.67	10	0	17	0
63	132	500	0	38	0
64	26.3	100	0	31	0
65	0.0296	1	0	1	1
66	85.8	500	0	30	1
67	1.44	10	0	13	1
68	3	10	1.67	12	1
69	15.8	200	0	25	1
70	0.814	5	0	11	0
71	0.688	5	0	8	1
72	98.9	500	0.288	33	1
73	182	1000	15.8	36	1
74	1.75	20	0	18	0
75	0.229	2	0	5	0
76	48.4	200	0	34	0
77	14.9	50	0	26	0
78	4.55	40	0	21	0
79	19.3	20	18.5	11	2
80	0.359	5	0	7	2
81	8.57	50	0	24	0
82	0.887	5	0	12	0
83	1.48	10	0	14	1
84	180	1000	8.57	37	1
85	3.44	100	0	20	1
86	25.9	200	2.61	26	1
87	2.25	20	0	12	2
88	0.918	5	0	13	0
89	0.134	1	0	3	0
90	2.64	50	0	14	2
91	46.8	400	0	29	1
92	0.817	5	0	9	1
93	0.0397	1	0	2	1
94	125	1000	0	22	2
95	0.592	10	0	9	2
96	2.42	20	0	20	0
